id,name,rating,zipcode,prices
196,Pho #1,4.0,85705,$
197,Pita Jungle,3.5,85711,$$
198,Piazza Gavi,3.5,85750,$$
199,Salsa Verde Restaurant,4.5,85710,$$
200,Elvira's,3.5,85701,$$
201,Vina Vietnamese Street Food,4.0,85705,$
202,Falora,4.5,85716,$$
203,China Szechwan,4.0,85719,$$
204,La Cocina,4.5,85701,$$
205,Kiss Of Smoke BBQ,4.5,85719,$$
206,Tucson Tamale,4.0,85704,$$
207,Lin's Grand Buffet,3.0,85713,$$
208,Proof Artisanal Pizza & Pasta,4.0,85718,$$
209,La Chaiteria,4.5,85745,?
210,Arizona Inn,4.0,85719,$$$
211,Greek House,4.0,85719,$
212,Pastiche,3.5,85719,$$
213,Takamatsu,3.0,85712,$$
214,Planet of the Crepes,4.5,85745,$
215,Tacos Apson,4.5,85713,$
216,Guilin Chinese Restaurant,4.0,85711,$
217,Govindas Natural Foods Buffet,4.0,85719,$$
218,The Hidden Grill2go,5.0,85750,?
219,Bronx BBQ - BXQ,4.0,85705,?
220,Mama's Hawaiian Bar-B-Cue,3.0,85719,$
221,BJ's Restaurant & Brewhouse,3.0,85711,$$
222,Wilhelm Family Vineyards Tasting & Tapas at Ventana,3.5,85750,?
223,Outback Steakhouse,3.0,85712,$$
224,El Sur Restaurant,4.0,85711,$
225,Oregano's,3.5,85712,$$
226,Gentle Ben's,3.5,85719,$$
227,HighWire Lounge,4.0,85701,$$
228,Los Chipilones,4.5,85701,?
229,Broadway Pizza Cafe,4.5,85711,$
230,BK Tacos,4.0,85719,$$
231,Maru Japanese Noodle Shop,3.5,85745,$$
232,Kon Tiki Restaurant & Lounge,3.5,85711,$$
233,Prep & Pastry on Grant,4.5,85715,$$
234,RA Sushi Bar Restaurant,3.5,85718,$$
235,Caravan Grill,4.5,85716,$
236,Panda House,4.0,85719,$$
237,5 Points Market & Restaurant,4.5,85701,$$
238,Sushi Lounge,4.0,85714,$$
239,Jerusalem Market & Restaurant,4.5,85711,?
240,Poco & Moms Cantina,4.0,85715,$$
241,Mr. An's Teppan Steak & Seafood Sushi Bar,3.5,85704,$$
242,Baja Cafe,4.5,85710,$$
243,Gusto Osteria,4.0,85715,$$
244,La Indita,4.0,85705,$$
245,Monsoon Chocolate,4.5,85713,$$
246,Zona 78,4.0,85715,$$
247,Taqueria Pico De Gallo,4.0,85713,$
248,Mei Mei,4.0,85745,$
249,Cafe Desta,4.5,85701,$$
250,Mamas Hawaiian BBQ,3.5,85715,$$
251,The Grill at Hacienda Del Sol,3.5,85718,$$$
252,Miss Saigon,4.0,85711,$$
253,Humble Pie,3.0,85718,$$
254,Carnitas los Gordos,5.0,85711,?
255,Cafe Santa Rosa,4.5,85713,$
256,IOU Sushi IV,4.0,85705,$$
257,Fronimo's Greek Cafe,4.0,85716,$
258,Karuna's Thai Plate,3.5,85719,$
259,BJ's Restaurant & Brewhouse,3.5,85705,$$
260,Guadalajara Original Grill,3.5,85704,$$
261,Rigo's Restaurant,4.0,85713,$$
262,Buffalo Wings,4.0,85745,?
263,Yoshimatsu Japanese Eatery,3.5,85719,$$
264,Pita Jungle,3.5,85704,$$
265,Sushi Garden,3.0,85716,$$
266,Saffron Indian Bistro,4.0,85704,$$
267,Exo Bar,4.5,85705,?
268,La Botonas,4.0,85712,?
269,Texas Roadhouse,3.5,85714,$$
270,Berry Salads,4.0,85711,?
271,Miss Saigon,4.0,85701,$$
272,Sushi Zona,4.0,85750,$$
273,Sky Dragon,3.5,85719,$$
274,Little Anthony's Diner,4.0,85710,$$
275,Oregano's,3.5,85704,$$
276,Wok Fire & Grill,4.0,85719,?
277,The Royal Room,4.0,85705,$$
278,Tucson Tamale Company,4.0,85715,$
279,Nook,4.0,85701,$$
280,Guadalajara Fiesta Grill,3.0,85710,$$
281,Tacos Apson,4.0,85741,?
282,El Chimichangon,4.0,85711,?
283,Sushi Cortaro On River,4.0,85704,$$
284,Ba-Dar,4.0,85710,$$
285,The B-Line,4.0,85705,$$
286,Beyond Bread,4.0,85719,$$
287,Kebab King,4.0,85705,$
288,Babylon Market,4.5,85712,$
289,Karichimaka Restaurant,4.0,85746,$$
290,Pinnacle Peak,3.5,85715,$$
291,Slice & Ice,4.0,85745,$
292,Ensenada Street Food,4.5,85706,$
293,47 Scott,4.0,85701,$$
294,Izumi,3.5,85716,$$
295,The Little One,4.5,85701,$$
296,Azian Restaurant Sushi & Korean BBQ,3.0,85711,$$
297,Club Congress,4.0,85701,$$
298,Caruso's,3.5,85705,$$
299,Trident Grill III,3.5,85711,$$
300,Yamato,4.0,85719,$$
301,Sonoran Brunch Company,4.5,85710,$
302,Carnitas La Yoca,4.5,85713,$
303,GRINGO grill + cantina,3.5,85704,$$
304,Choice Greens,4.0,85716,$$
